iter	Passed	Remaining
851	2297	399
852	2300	396
853	2302	393
854	2305	390
855	2307	388
856	2309	385
857	2312	382
858	2314	379
859	2317	377
860	2319	374
861	2321	371
862	2324	368
863	2326	366
864	2328	363
865	2331	360
866	2333	357
867	2336	355
868	2339	352
869	2341	349
870	2343	347
871	2346	344
872	2348	341
873	2350	338
874	2353	336
875	2355	333
876	2357	330
877	2359	327
878	2361	325
879	2364	322
880	2366	319
881	2368	316
882	2370	314
883	2372	311
884	2374	308
885	2377	305
886	2379	303
887	2381	300
888	2384	297
889	2386	294
890	2389	292
891	2391	289
892	2394	286
893	2396	284
894	2398	281
895	2401	278
896	2403	275
897	2405	273
898	2408	270
899	2410	267
900	2412	265
901	2415	262
902	2417	259
903	2419	256
904	2422	254
905	2424	251
906	2427	248
907	2429	246
908	2431	243
909	2434	240
910	2436	238
911	2439	235
912	2441	232
913	2443	229
914	2446	227
915	2448	224
916	2451	221
917	2453	219
918	2455	216
919	2457	213
920	2459	210
921	2461	208
922	2463	205
923	2466	202
924	2468	200
925	2470	197
926	2473	194
927	2475	192
928	2477	189
929	2480	186
930	2482	183
931	2484	181
932	2486	178
933	2488	175
934	2491	173
935	2493	170
936	2496	167
937	2498	165
938	2500	162
939	2503	159
940	2506	157
941	2508	154
942	2511	151
943	2513	149
944	2516	146
945	2518	143
946	2521	141
947	2523	138
948	2525	135
949	2528	133
950	2530	130
951	2532	127
952	2534	125
953	2537	122
954	2539	119
955	2542	117
956	2545	114
957	2547	111
958	2549	109
959	2552	106
960	2555	103
961	2557	101
962	2560	98
963	2562	95
964	2564	93
965	2567	90
966	2570	87
967	2572	85
968	2575	82
969	2577	79
970	2580	77
971	2582	74
972	2584	71
973	2587	69
974	2589	66
975	2593	63
976	2595	61
977	2598	58
978	2600	55
979	2603	53
980	2606	50
981	2608	47
982	2611	45
983	2613	42
984	2615	39
985	2618	37
986	2620	34
987	2622	31
988	2625	29
989	2627	26
990	2629	23
991	2633	21
992	2636	18
993	2638	15
994	2640	13
995	2643	10
996	2645	7
997	2648	5
998	2650	2
999	2653	0
